Index,created_at,_id,author.location,geo.place.country,in_reply_to_user.location,country,latitude,longitude
78,2023-02-24T08:00:22.000Z,1.63E+18,undefined,undefined,Siverek’teki Diyarbakırlı,NA,-23.2335499,17.3231107
79,2023-02-24T08:00:22.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
80,2023-02-24T08:00:22.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
81,2023-02-24T08:00:20.000Z,1.63E+18,"Nong Khaem, Bangkok",undefined,undefined,Thailand,14.8971921,100.83273
82,2023-02-24T08:00:16.000Z,1.63E+18,undefined,undefined,السعودية_,NA,-23.2335499,17.3231107
83,2023-02-24T08:00:14.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
84,2023-02-24T08:00:14.000Z,1.63E+18,"Konya, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
85,2023-02-24T08:00:14.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
86,2023-02-24T08:00:13.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
87,2023-02-24T08:00:11.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
88,2023-02-24T08:00:09.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
89,2023-02-24T08:00:04.000Z,1.63E+18,The Netherlands,undefined,undefined,United States of America,39.7837304,-100.445882
90,2023-02-24T08:00:02.000Z,1.63E+18,"Istanbul, Turkiye",undefined,undefined,Turkey,38.9597594,34.9249653
91,2023-02-24T08:00:02.000Z,1.63E+18,Istanbul TR | Marshfield USA ,undefined,undefined,Turkey,38.9597594,34.9249653
92,2023-02-24T08:00:02.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
93,2023-02-24T08:00:00.000Z,1.63E+18,Jeddah and Islamabad,undefined,undefined,Jeddah,21.5810088,39.1653612
94,2023-02-24T08:00:00.000Z,1.63E+18,"Stockholm, Sweden",undefined,undefined,Sweden,59.6749712,14.5208584
95,2023-02-24T08:00:00.000Z,1.63E+18,"Manhattan, NY",undefined,undefined,United States of America,39.7837304,-100.445882
96,2023-02-24T07:59:58.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
97,2023-02-24T07:59:57.000Z,1.63E+18,adana,undefined,undefined,NA,-23.2335499,17.3231107
98,2023-02-24T07:59:55.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
99,2023-02-24T07:59:53.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
100,2023-02-24T07:59:53.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
101,2023-02-24T07:59:52.000Z,1.63E+18,Liverpool❤️❤️YNWA😍❤️,undefined,undefined,NA,-23.2335499,17.3231107
102,2023-02-24T07:59:49.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
103,2023-02-24T07:59:47.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
104,2023-02-24T07:59:45.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
105,2023-02-24T07:59:45.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
106,2023-02-24T07:59:45.000Z,1.63E+18,undefined,undefined,"Kadıköy, İstanbul",NA,-23.2335499,17.3231107
107,2023-02-24T07:59:42.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
108,2023-02-24T07:59:39.000Z,1.63E+18,Vatican ,undefined,Vatican ,Vatican City,41.90381485,12.45315272
109,2023-02-24T07:59:38.000Z,1.63E+18,Vatican ,undefined,Vatican ,Vatican City,41.90381485,12.45315272
110,2023-02-24T07:59:37.000Z,1.63E+18,Vatican ,undefined,undefined,Vatican City,41.90381485,12.45315272
111,2023-02-24T07:59:36.000Z,1.63E+18,undefined,Turkey,undefined,NA,-23.2335499,17.3231107
112,2023-02-24T07:59:30.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
113,2023-02-24T07:59:27.000Z,1.63E+18,Galip İLHANER (VAN - İSTANBUL),undefined,undefined,NA,-23.2335499,17.3231107
114,2023-02-24T07:59:25.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
115,2023-02-24T07:59:20.000Z,1.63E+18,"Arduinkaai 29, 1000 Brussels",undefined,undefined,NA,-23.2335499,17.3231107
116,2023-02-24T07:59:12.000Z,1.63E+18,"Ankara, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
117,2023-02-24T07:59:11.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
118,2023-02-24T07:59:10.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
119,2023-02-24T07:59:08.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
120,2023-02-24T07:59:06.000Z,1.63E+18,"San Francisco, CA",United States,San Diego,United States of America,39.7837304,-100.445882
121,2023-02-24T07:59:02.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
122,2023-02-24T07:59:02.000Z,1.63E+18,United States,undefined,Russia,United States of America,39.7837304,-100.445882
123,2023-02-24T07:59:01.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
